selected_text;sentiment
Bugger. forgot I still have washing in my machine;negative
sending love, blessings & healing thoughts to you & family  peace;positive
.really bad;negative
ah yes, I know that feeling;neutral
Night of the cookers with my dad;neutral
brutal;negative
Nope I am in Coquitlam;neutral
boring;negative
p sounds like fun;positive
Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.;neutral
great;positive
excited;positive
good morning;positive
its the best show EVER!;positive
messed;negative
i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .;neutral
I want to know when the auditions are Mander! Text or...reply please!;neutral
NOT THE SECRET NAMEREBECCA PLEASE;negative
miss;negative
i need to get my computer fixed;neutral
illness;negative
All the cool people I want to find for following today are #English, and I guess the English don`t tweet.;neutral
no sir...i woulda put honey...but i don`t have any;neutral
i totally loved it!;positive
i <3 you. u helped me thru the hrdest time of my life!;positive
sad;negative
Finally got a call for marriage counseling 3 days late....;neutral
ok then;neutral
why baby?;neutral
sick!;negative
We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in;neutral
oww;negative
happy 1 year! <3;positive
Goooooooooooood Morrrrrrrrning;positive
*phew*  Will make a note in case anyone else runs into the same issueï¿½;neutral
WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!;negative
This diet is killing me;negative
i talk to you;neutral
bored..;negative
e fun;positive
So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now;neutral
What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!;neutral
lost my voice;negative
hate;negative
I`ve heard this fall. I`m waiting too!;neutral
more nightmares?  *huggles*;neutral
I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy;negative
headache;negative
happy;positive
Grabbing coffee from  then making mom breakfast;neutral
going to have fun;positive
thanks. before the major chop.;neutral
d thank you!;positive
just got up and updated my ipod;neutral
HAHAHA;positive
crush;positive
Saw James carville in the store today. His head is really that bald;neutral
yellow for   ? http://blip.fm/~5z05g;neutral
which means you`re just going to have to come back to vancouver and have it our way! hahah;neutral
Feeling smooth;positive
Ew traffic;negative
downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol;neutral
your not alone...i need coffee too.;neutral
Sounds like me;neutral
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...;neutral
I hate not having a bike..;negative
_nesmith;neutral
This is worse than taxes.;negative
JONAS BROTHERS - Live to party.                It`s rocking so hard;positive
happy;positive
would love to test it though.;positive
Fun night!;positive
The exception for a short dude: Larenz fineass Tate yum;neutral
I thought Wolverine was awesome.;positive
Hopefully;positive
Yes i work 6 to 3...;neutral
Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is;neutral
Done at the spa   now meeting vic for some late lunch!;neutral
Happy;positive
Always have wanted to go to Oz;neutral
Thx;neutral
luv;positive
that`s why I need to be there;positive
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!;neutral
If only we could ever actually be allowed to stay here and do that;neutral
Let me know how that turns out!!;neutral
was that sass I detect?  As long as it isn`t back sass! Haha;neutral
,ahaha;positive
Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho;neutral
I`m not sleeping at all un;negative
Seriously,;negative
I live for pain, bring it on;neutral
okay, i`m out for a while  back later!;neutral
g What is this powerblog challenge you keep talking about?  I`m a newbie followe;neutral
died.;positive
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time;neutral
not going to well!;negative
going to shower because i don`t want to smell at school tomorrow;neutral
Sigh... you know I am...;neutral
hopefully;positive
Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/;neutral
just got home from work.... and is chugging down a big bottle of apple juice.;neutral
g harmed;negative
what an amazing day.;positive
it was only once for my big brother...and I`m done now;neutral
good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn;neutral
Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning;positive
were amazing tonight..;positive
hope;positive
it hurts too much...;positive
I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?;neutral
Hell Yeah!;neutral
HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?;neutral
i know!!;neutral
huh what the ****? Smelly? Noooo. I love alex Vixon;neutral
GREAT;positive
Happy b-day!;positive
thank;positive
HAPPY;positive
glad;positive
Thanks;positive
twittering after 2 days!;neutral
Its too nice;positive
depressed;negative
;
Happy Mothers Day people. i love my mom a lot still;positive
sorry;negative
, he was soooo friendly.;positive
happy;positive
Is getting the hang of Twitter.;neutral
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...;negative
I want it BACK NOW!:;neutral
miss;negative
bathing with two little angels, Keyla and Janice.;neutral
chocked;negative
HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is;neutral
Family is here,hanging with them;neutral
.it`s gorgeous out!;positive
m worried;negative
Im not bannished.;negative
Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.;neutral
red top tabloids, build em up, knock em down;neutral
tonight in party w/ my girls (minus vita);positive
why not now you made me sad I thought you`d be jumping for joy;neutral
Simple my a#@;neutral
The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now;neutral
amazing;positive
glad;positive
I have missed them;negative
_Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.;neutral
Hell yeah Kellynn got a Twitter. Finally.;neutral
as wort;positive
better;positive
Ship. I`m stuck.;negative
Cannot wait;positive
shame;negative
;neutral
It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters;neutral
Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery;neutral
Definitely pinched a nerve.;negative
exhausting!;negative
I was going to go on Sunday, but now I`ve got too much going on that weekend;neutral
Sorry;negative
im sad it very hurts;negative
Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love;positive
I`m broke;negative
Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!;neutral
sore throat. Planning the TET outing to Marwell though...good times;neutral
it was amazin;positive
now a migraine.;negative
There!;neutral
?sucks!?..;negative
whens the sway sway winner announced?;neutral
K will check it out...;neutral
doing pretty well,;positive
i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!;neutral
I Miss Daddy and Mommy;negative
officially depressed;negative
I just realized that I can`t forward text msgs with my iPhone.;neutral
exciting!;positive
That sucks!;negative
bored;negative
I am lost.;negative
It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38;neutral
bad;negative
LMAO... Smh!  that one threw me off;neutral
oh nice going!;positive
Is getting ready for work... Working all weekend;neutral
partying;positive
i agree with you!;positive
Am hopeless at everything else;negative
perfect ma;positive
thanks!;positive
Sorry;negative
I saw amazing heeels. But they were too big;neutral
stuck;negative
dang;negative
i missed all ur tweets;negative
Damnit all. That sucks.;negative
my boss. She`s moving to NYC;neutral
this is sooo crazy;negative
some stupid ****;negative
I think i need some new friends;neutral
Looking forward to your gig in Ireland!!!  See ya there!;neutral
Please Re;positive
aww  you loooove me;positive
is hungry, twitter.  i want food.;neutral
awesome lucky you;positive
yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   ha;neutral
love;positive
had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!;neutral
No fun;negative
u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for;neutral
I feel your pain.;negative
comes home in two days;neutral
Sadly;negative
Cant wait;positive
ehhh no. just a check up. I have a dentist app next week though. getting my molar pulled/root canal.;neutral
aww I miss driving;negative
Omg Wango Tango was **** AWSOME! I love my baby for taking me;positive
its very cool;positive
wish;positive
yeah real hard, but I know you`ll get by with it... smile;neutral
that`s not good;negative
This has made my night!!  Way too funny!;positive
Happy;positive
I make that same face when I get home and your mom is watching soaps.;neutral
I have to go to work now.;neutral
I can`t believe you went and got boba without me.;neutral
And to you too, how are you today?;neutral
Thanks;positive
19 days and counting;neutral
sorry  friends;negative
BRAINFREEZE;neutral
Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit;neutral
My sunburn is peeling,;negative
perky purple nail polish isn`t as perky when its chipped;neutral
http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught.;neutral
I don`t have no one to cuddle with..;negative
hate;negative
.sorry;negative
dying;negative
qood morninq;neutral
writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.;neutral
needs more followers;neutral
stupid job;negative
The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form;neutral
the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.;neutral
Have a good on;positive
she is popular,;positive
Dosen`t Want To;negative
His voice is great.;positive
i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.;neutral
was hoping to go to Red Lobster this weekend;neutral
lucky;positive
I sure do hope;positive
Congrats!;positive
passed away;negative
you are such amazing people!;positive
cool;positive
so no rice or crusty bread with the chili .... aawww;neutral
We are of like minds this evening , my dear!;neutral
come and save me from my packing please?!;neutral
Yes, I love tea.;positive
a mouth for sure;positive
I finally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend;neutral
thanks!;positive
s I just don`t entertain him :/;negative
kill me;negative
both electronic keys stopped working. there is no keyhole!;negative
Good;positive
poor tony;negative
Goodmorning;positive
I don`t really feel like;negative
I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too;positive
Saw a black snake in the garden.  Went back for a picture and it was gone;neutral
best;positive
No waterfront anymore;negative
loves her mum very much! Happy Mothers Day to all the wonderful mothers out there;positive
feeling like poop!;negative
excited;positive
then you cry ...;negative
Discovered  and  are sharing on G reader with me and didn`t even know it. Sigh.... I`m such a G reader newb.;neutral
is chilled out tonite, so cannot spew venom or write funny. Seems like these are the only 2 styles she has;neutral
If u do, please pray 4 me.  Lord knows I need it.;neutral
aaaaaw i want to live in the USA;neutral
Morning tweeple;positive
Hey, I didn`t get any !!!;neutral
#�NOMBRE?;positive
That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!;neutral
I don`t want to sit at home;negative
wishing;positive
concert tonight  chackin out and not coming tomorrow!;neutral
what happened? I thought you were coming back today....;neutral
dammit;negative
lol.;positive
Still jealous;negative
Me at Forever 21  Ethan couldn`t be there;negative
SAD;negative
not easy!;negative
Wow what a beautiful pictur;positive
Looks good;positive
'there are people and then there are pencils' some are sharp, some are not and some can be sharpened  my pencil philosophy.....;neutral
just about to go home. I`m usually `mr. positive` but this has been one of those daze. well, 15 mins until tomorrow!;neutral
but you always have lee. Let`s go to Paris;neutral
a nice;positive
having lots of fun;positive
Bouncing Rush makes me feel nauseous;negative
Lovely day for it;positive
playing singstar without my fave duetter;negative
i like;positive
That`s just weird... :\;negative
im a good daughter;positive
That`s NOT cool;negative
alwas helps.;positive
lacking,;negative
cool;positive
Good;positive
i think it`s under a honeymoon by the good life -- either that or it`s under a honey moon by joseph arthur.;neutral
swollen.;negative
it was hours ago i came in.... and it`s only now i realised when i went to buy something online;neutral
oh just referring to our lil exchange on LJ with regards to twitter archive postings.;neutral
Don`t act like u don`t know.;negative
best;positive
! I`m scared of him;negative
missing;negative
mean!;negative
not doing so good,;negative
back soon, need to run to the shops and cut the grass;neutral
I`m up. I have a plan to transform my bedroom today. Random.;neutral
Missing;negative
thats another sponsor;neutral
stuck;negative
sad.;negative
Sorr;negative
is home alone.. Doing hw;neutral
live in poverty.;negative
not going well;negative
uploading all my bamboozle pictures of facebook;neutral
congratulations;positive
I miss it there;negative
Woke Up,I Wanna Stay In My bed;neutral
wack.;negative
It would be great if those VIPS were for some acts I`d enjoy seeing, but noooo.;neutral
Wish I could make it too!!! I hate my commute sometimes;neutral
hopefully i can make some good tips;positive
d there wasn`t a chance;negative
Hates;negative
Thanks for the support;positive
there`s really no android twitter app of Tweetie`s calibre;neutral
lovely;positive
Nyappy mother`s day to your mom`s.;positive
yeah.... and im gonna take ur picture off my ipod baby..;neutral
traumatizing;negative
lol same here....wish there was a way to microsize everything...lol;neutral
fail);negative
glad;positive
About to have dinner and then an evening of playing cards. Already packed and ready to head home tomorrow   Do we have to go home?;neutral
im allergic to cats! my tonsils get swollen and they hurt  what do i dooo?!;negative
. Tomorrow will be tough!;negative
miss;negative
i`m glad;positive
Thanks;positive
i hope;positive
well,;positive
nah jkin he`s hot! so... bored now;neutral
Ahhh i`m sqeaky clean and fresh. Even though i`m wearing dirty clothes  I love Two and a Half Men - it`s amazing!;positive
yes i have read them many times.;neutral
Cuz you play a grown up on Twitter?;neutral
i am living in ignorance;negative
nope... it is telling you that you want cameo creams;neutral
AWWWW  we`re gonna miss you!;negative
its a relaxing place;positive
he couldn`t do it should have cost his part.;neutral
lovely;positive
. Sorry;negative
dammit;negative
it was amazing;positive
@ Barbs trying to figure out y the dsl aint connecting. I need my google. Going home to my computer if it don`t start working soon. SMH;neutral
sick and sad ..;negative
Seems really quiet tonight...am jealous of those who are clearly having a more exciting life than me   Off to bed I think...;neutral
Really wishes he had some spare cash to buy the new Punch Out for Wii;negative
not going;negative
So sorry;negative
I feel for you  I hope it`s a smooth flight. Be safe;positive
Can`t sleep..;negative
sad.;negative
sweet dreams;positive
hay wats ur AIM? we should chat;neutral
. Okay kool... I might be touring all summer long but we can make it happen!;neutral
PAIN.;negative
Time to watch OP, then some Dead Like Me, then sleep.;neutral
Having dinner with my grandma since I couldn`t be with my mum.;neutral
haha thanks  its for history and its on how the invention of television has influence america lol;positive
yea so wassup;neutral
Stupid;negative
Shopped til i dropped....come bac sunshine i miss u;negative
Like;positive
Thank you   I`ve had anxiety issues;neutral
Around 3 hours left until a 3 day weekend and I have waaaay too much work to do.;neutral
loved!;positive
there were attempts to somehow extend inner classes, which would be close to #closure, can`t find the ref ATM;neutral
Yes! Join us! All we require is a cupcake donation...;neutral
hard;negative
terrible headache and super swollen and puffy eyes! i dont think im going out today.ugh!;negative
Can`t access your site!;neutral
Sun is shinning.........at last;positive
slowest train ever,;negative
nup no cd either.. just a whole bunch of zeros and ones you can have for free;neutral
My graduation day... And i feel like a failure...;neutral
ops   that lol wasnt supposed to got to twitter;neutral
I don`t think I`ve ever been so tierd in my life.U;negative
What are u going to do today my girl?;neutral
why doesnt he want me anymore;negative
bad hair day;negative
headache;negative
sorry;negative
I am just `okay-okay` .. like the rest of the sane population in the world, I hate mondays;neutral
mozart`s requiem!;neutral
i think i am a bit, in love with his creations and wit but not that physically attracted to him although he has great style;neutral
thanks for another great day!;positive
huh?;negative
OHSHNAPSSS. is she pissed at blair as usual ? hahah. & yeeeah, i bake cookies;neutral
no bueno.  hollykins needs to feel better asap.  p.s. i miss you.  you done with uni soon aren`t you?  SOPROUDOFYO;neutral
awesome;positive
happy;positive
<---My expression watching this again: http://tinyurl.com/eqbwe;neutral
Stupid;negative
I didn`t want to tell you but I think it`s your body odour;negative
nice beta for easports still no news on the online for madden;neutral
bad;negative
missed;negative
Unfortunately;negative
fun;positive
Discrimination is not a bad thing.;positive
sure i can talk....the fabulous **** part though is out  sorry dear;neutral
tease,;negative
Just got back from working out. I`m feeling pretty good.;positive
Ahhh My Satz blend didn`t save;neutral
So!!! Why should that matter? I bet you would be GREAT at it! I do!!! It`s what you love, right? Why not go for it!;positive
Thank the heavens.;positive
My ear are popping.;neutral
bad;negative
no answer back.;negative
Catching up on 2 weeks of LOST and Grey`s!!    House is quiet again.;neutral
me smile.;positive
I`m kinda o sick n tired;negative
boo.;negative
hey Phillll! Wazzuppppp?!;neutral
missed out;negative
.great.;positive
finally gone to the beach, yeaaaah!;positive
awesome;positive
last weekday of doing nothing, school starts next week!!!;neutral
Gorgeous GIRL!;positive
hysterical;positive
ok, i have to turn off all of my twitter device updates until i get a new battery. phone goes from fully charged to dead in about 5 hours;neutral
michelle is a hot mama with chichis grande;neutral
you do rock that much;positive
no one I know likes boiled peanuts t.;neutral
loved;positive
ugh! These **** tonsils.;negative
Please get a cell phone with a better camera on it... your pictures are real bad quality compared to those that Miley took;neutral
bless,;positive
good fun;positive
lost;negative
though that isn`t going so well.;negative
Hoooray!  I`m hooked already;neutral
good;positive
I agree. Everybody would`ve been excited and then it goes... ohhhh nooooo..... MS screws up again..;neutral
Edge left me off the contributors list in this month`s issue.;neutral
ooo Growl and Yummy time coming soon for you too huh oh yeah, I have been hunting for a combo tshirt, think I can find one?  NO;neutral
im back to this z-index problem...again;negative
so bored at work...;negative
hating;negative
www.myspace.com/fashionisthenextcity  check out and started new tee`s  limited edition in different ways !! check facebook group too;neutral
'They' being the husband or the girl?;neutral
Thinking of what I should do in Vegas??? Any good ideas or places that are a most see!??;neutral
sucks!!;negative
Hi to one kiwi artist from another kiwi artis;neutral
Happy Mother`s Day;positive
oooo ok   why  havent you accepted my friends reque;neutral
sorry;negative
no;neutral
love good causes;positive
Not available in my area;negative
Its Friday! Only 5 more hours until I`m free!.....until tomorrow.  oh well;neutral
meeting just in time that iï¿½m trying to win something  prize`s friday!;neutral
cramps;negative
thank you;positive
`s plans didn`t go as followed, but its ok;neutral
_what_ did you do?  Let me guess... you skipped sports and bought a new pinkish outfit?;neutral
where is the rain please come out;neutral
My pleasure;neutral
FML;negative
funny,;positive
grouchy;negative
worse.;negative
I don`t have the app that does it;neutral
;
out for supper tonight with kurumi in 10 minutes;neutral
cute.;positive
Loved;positive
hi mariah;neutral
_Yours13 I`m not at home with my cats right now!;neutral
my inbox is still empty;negative
I`m such a rebel!;negative
;
nice;positive
Exam 1 today. Going to get my license renewed  The birthday is getting closer!;neutral
love!!;positive
Thinks its gonna rain;neutral
good.;positive
Yrbook signing w/ evryone was fun, I`m gna miss evrything;neutral
lost;negative
so not close enough that I could run out and get one;neutral
That was stone cold   Crazy.;negative
totally having austin powers withdrawl symptons and Darrius withdrawl symptoms and mommy and minne withdrawl syamptoms.;neutral
they were so pretty;positive
Senior`s last day.;neutral
.no one will help me;negative
;
Thanks;positive
- we`re getting closer rather than further from REAL lobby dates - Chicago, BlogHer09 - squee!!!;neutral
Has lost his vocie and Adele is laughing at me LOL and still wondering why I`m in college on me week off;neutral
oh sorry! not getting all my replies  nothing against you.;negative
Pray for my Uncle,;positive
! Gonna scare Rachel with Quarantine tonight, this shall be fun;neutral
omg i wanted to slap her.;negative
watching the simpsons;neutral
very special`s;positive
great;positive
Has work very, very soon. Way too soon!;neutral
phaket.  what did anneliese want to do?;neutral
mad;negative
Thanks;positive
I`m hungry  wife is at a Bodyshop Party and is bringing a takeaway home with her - how much longer will the party go on?;neutral
Such a pretty baby!;positive
Invite them to your house instead;neutral
I`m a bit Ben`s Thai-ed out;neutral
#stackeoverflow;neutral
cute..;positive
Dead stopped in the express lane. This would happen when I choose to take it. No way out now. Ugh. Hopefully this gets moving;neutral
_OKeefe Yay! You`re on Twitter! You`re my secret celeb crush!  (too much info??);neutral
k  thank;positive
fail at life sometimes.;negative
WISH;positive
*points at the gear question I just posted* I cant get the rest of my Dreadweave set;neutral
You remind me so much of a Omaha Girl, that I use to date.  I guess it all in the Jeans, (Calvin Kleins is what she wore).;neutral
. He gives Twitter tips. Hope this helps;positive
I loved him;positive
... LOL Than;positive
gorgeous!;positive
I guess the relaxing dinner and a movie is out for tonight...I was looking forward to that after my day at work;positive
My laptop grew speakers. Now I can watch Charlie with the sound on;neutral
rofl uh huh;positive
funny!;positive
doesn`t that look fab,;negative
deadlines!;neutral
terrible;negative
irrelevant.;negative
I`m too sick to go outside;negative
good;positive
excited;positive
we won`t be home till like next month;neutral
love,;positive
bad;negative
screwed;negative
just got laid off. Lots of people becoming unemployed;negative
e bestttt;positive
easties you can go there anytime;neutral
like;positive
lemme guess - you ran 5 miles at the gym, and are waking your kids up, and then going to the beach and / or recording studio?;neutral
i never knew a dentention was so hard;negative
fun;positive
my nail broke  I haaaaaaaaate;negative
IS disappointing;negative
yep;neutral
Love;positive
. I hope Avalina isn`t a dud!;negative
Anyone want to buy me this anthropomorphic planter? http://tinyurl.com/m6sru3 Only available till the 31st;neutral
It`s a beautiful day outside today, shame I`m stuck in the office with the blinds shut to stop glare.;neutral
Woke up and there was sun! And then it started to rain;neutral
and  the Creative VADO`s are out of stock at walmart.com (missed it)  but thanks for tweeting about;neutral
hates;negative
Lovely;positive
Flap-a-taco was nice until the plebs came in.;negative
celebrate;positive
am chillaxin after a busy BankHoliday, Hope everbody had a gd wkend! Holiday in 12 days!!;positive
better;positive
wow-you ride HARD!;positive
check out the flyer i designed for the notary and retrograde: http://rachellovespeace.blogspot.com let me know what you think;neutral
Thanks! Welcome back!;positive
t sucks;negative
sore head;negative
at the office, trying to solve the mystery of whose blood is that in the  bathroom toilet.... eewwwww;neutral
awwww..I love him! His car was soooo CUTE tonight!! I love me some Carl..My 10yr old is sad now..LOL..;neutral
Bryan hasn`t replied about wingnuts;neutral
Watching southpark for another 20 minutes;neutral
e`s amazi;positive
LMAO...Ha!;positive
stupid;negative
Tried on all the shoes in new look;neutral
its too early  i wanna go back to sleeep;neutral
I don`t think I am, my sisters refusn to get me a ticket now.;negative
oh wow...hope he`s ok  u take him 2 the vet?;neutral
He died.  Wait, what about Magic Jack? I just read it.;neutral
i`ve just woken up;neutral
love;positive
one of the greatest dinners ever:;positive
nooooo its raining..;negative
Shower. Class. More class. Taking care of my lady-friend.;positive
great;positive
great;positive
Goodmorning twitter, oh my gosh, i woke up soooo nice, lol ... oh hai thar twitterverse. Happy #mothersday everybody;positive
i LOVED;positive
